Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2023-10-03,0,0.05164551190514292,0.041645511905142915,0.08603151190514291,0.0,0.0,0.0,0.0,0.0,0.0,Sowing,2023-10-03,2024-07-30,17.5,11.8,25.8,1.4,70,1019.0,17.4,52,18.8,18.8
2023-10-04,1,0.05185322996975371,0.04185322996975371,0.08623922996975371,0.0,0.0,0.0,0.0,0.0,0.0,Sowing,2023-10-03,2024-07-30,12.2,8.8,16.3,0.0,77,1028.7,9.5,33,12.55,31.35
2023-10-05,2,0.05223687715845749,0.04223687715845749,0.08662287715845748,0.0,0.0,0.0,0.0,0.0,0.0,Sowing,2023-10-03,2024-07-30,10.6,6.9,15.4,0.0,80,1027.3,9.0,79,11.15,42.5
2023-10-06,3,0.05276774901837934,0.04276774901837934,0.08715374901837934,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,11.2,5.2,18.1,0.0,79,1026.9,7.3,59,11.65,54.15
2023-10-07,4,0.05344393933299051,0.04344393933299051,0.08782993933299052,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,13.6,9.6,17.3,0.0,66,1025.1,16.5,50,13.45,67.6
2023-10-08,5,0.0542847375888548,0.044284737588854796,0.0886707375888548,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,15.4,11.8,19.2,0.0,71,1025.1,13.3,67,15.5,83.1
2023-10-09,6,0.055301600572509824,0.04530160057250982,0.08968760057250982,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,15.6,11.7,19.1,0.0,67,1021.7,14.3,82,15.4,98.5
2023-10-10,7,0.05643817861295149,0.046438178612951485,0.09082417861295149,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,15.8,12.3,21.9,0.0,66,1021.7,8.9,90,17.1,115.6
2023-10-11,8,0.05753337806447996,0.04753337806447996,0.09191937806447996,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,16.6,11.7,23.7,0.0,63,1018.9,10.8,39,17.7,133.29999999999998
2023-10-12,9,0.05849142467335108,0.04849142467335108,0.09287742467335108,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,16.5,14.4,20.8,1.5,70,1017.3,11.8,98,17.6,150.89999999999998
2023-10-13,10,0.05957005744584118,0.04957005744584118,0.09395605744584118,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,18.0,13.0,25.0,0.0,61,1014.5,12.3,54,19.0,169.89999999999998
2023-10-14,11,0.061222968423221086,0.051222968423221084,0.09560896842322109,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,14.7,8.8,19.8,3.8,72,1012.6,17.6,89,14.3,184.2
2023-10-15,12,0.06357850598818239,0.05357850598818239,0.09796450598818239,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,6.7,3.4,10.0,0.6,78,1021.4,12.8,29,6.7,190.89999999999998
2023-10-16,13,0.06637982065037211,0.05637982065037211,0.10076582065037211,0.0,0.0,0.0,0.0,0.0,0.0,Emergence,2023-10-03,2024-07-30,4.4,-1.1,9.3,0.0,79,1023.2,5.9,60,4.1000000000000005,194.99999999999997
